ordinal,captureKey,disposition,achievedIntentEv,upperLowerShiftEv,renderCellMedianP75,integralRelativeShiftEv,appRenderMedian,appCenterMedian,appRenderQ95
35,IMG_20260904_163553_1788536153169_00,GOOD,0.000000000,-0.273327076,26.391000000,0.265342311,19.000000000,30.000000000,119.000000000
38,IMG_20260904_163702_1788536222457_00,BOUNDARY,0.000000000,0.720933894,4.496500000,0.480185005,2.000000000,6.000000000,89.000000000
39,IMG_20260904_163847_1788536327166_00,GOOD,0.000000000,0.219829777,22.488750000,0.261876957,14.000000000,20.000000000,112.000000000
40,IMG_20260904_164019_1788536419887_00,DARK_FAIL,0.298657925,2.339838745,16.438250000,-0.010406267,5.000000000,5.000000000,155.000000000
41,IMG_20260904_164035_1788536435593_00,SAFETY_CONTROL,0.070389328,1.666805268,54.934375000,0.052282953,20.000000000,25.000000000,233.000000000
42,IMG_20260904_164048_1788536448208_00,DARK_CANDIDATE,0.137503187,2.754638782,26.124375000,0.099994641,5.000000000,7.000000000,181.000000000
45,IMG_20260904_164247_1788536567395_00,GOOD,0.000000000,0.427597354,27.339250000,0.179080683,22.000000000,24.000000000,125.000000000
46,IMG_20260904_164331_1788536611192_00,GOOD,0.000000000,-1.174075801,17.834000000,0.468803709,7.000000000,25.000000000,119.000000000
47,IMG_20260904_164402_1788536642539_00,GOOD,0.201631928,0.455043889,14.614875000,0.524657442,5.000000000,13.000000000,168.000000000
51,IMG_20260904_164510_1788536710636_00,GOOD,0.000000000,-0.370672834,155.240375000,0.192502523,92.000000000,92.000000000,222.000000000
52,IMG_20260904_164525_1788536725121_00,GOOD,0.000000000,-0.122929426,105.675125000,0.155350744,60.000000000,54.000000000,204.000000000
54,IMG_20260904_164622_1788536782716_00,BOUNDARY,0.176322320,1.122595151,77.499750000,-0.040972271,13.000000000,13.000000000,214.000000000
55,IMG_20260904_164647_1788536807335_00,BOUNDARY_REVIEW,0.422233001,1.637844625,42.856375000,0.026907424,11.000000000,14.000000000,197.000000000
56,IMG_20260904_164707_1788536827532_00,GOOD,0.000000000,-0.415476794,89.332500000,0.239426817,48.000000000,69.000000000,186.000000000
57,IMG_20260904_164736_1788536856690_00,GOOD,-0.000000013,0.544254226,64.101000000,0.249309322,34.000000000,49.000000000,161.000000000
59,IMG_20260904_164814_1788536894347_00,GOOD,-0.012600101,-0.129673857,79.927250000,0.251750954,51.000000000,83.000000000,191.000000000
