frame,visual_class,evidence_mode,achievedIntentEv,previewSceneSpreadEv,previewBrightRegionFraction,previewUpperVsLowerEv,renderUpperVsLowerEv,upperLowerShiftEv,centerRetentionEv,lowerRetentionEv,upperRetentionEv,edgeRetentionEv,broadCollapseCount,renderGridMeanY,renderLower12Y,renderUpper6Y,renderCellMedianP75,integralRelativeShiftEv,legacyGlobalMeanY,legacyGlobalMedianY,branchA,branchB,branchC,selector
164048,DARK_FAIL,part3_rendergrid_audit,0.137503187,,,1.159651,3.914290,2.754639,,,,,,,,,26.124375,0.099995,,,1,,,DARK_INTENT
164019,DARK_CANDIDATE,part3_rendergrid_audit,0.298657925,,,,,2.339839,,,,,,,,,16.43825,-0.010406,,,1,,,DARK_INTENT
164402,GOOD,part3_rendergrid_audit,0.201631928,,,1.184863,1.639907,0.455044,,,,,,,,,14.614875,0.524657,,,0,,,HOLD
163702,BOUNDARY,part3_rendergrid_audit,0,,,0.753757,1.474691,0.720934,,,,,,,,,4.4965,0.480185,,,0,,,HOLD
142840,DARK_FAIL_ZERO_INTENT,exact_edgeplacementgate1a,0.000000000,2.220138578,0.416666667,-0.262129897,0.529740792,0.791870690,-1.880181753,-2.807351403,-2.015480713,-2.031385120,4,21.197459406,12.641647903,18.250365168,9.000000000,,,,,1,0,DARK_ZERO_INTENT
142939,DARK_FAIL_ZERO_INTENT,exact_edgeplacementgate1a,0.000000000,1.563986482,0.291666667,-0.739295402,-0.343166778,0.396128623,-1.735182133,-2.480553821,-2.084425198,-2.517992264,4,19.424140107,15.985551850,12.601555012,11.250000000,,,,,1,0,DARK_ZERO_INTENT
143432,GOOD_MILD_BOUNDARY,exact_edgeplacementgate1a,0.400535852,2.124915037,0.458333333,1.947050177,2.968026694,1.020976517,-0.149529938,-1.350467213,-0.329490696,-0.518527669,0,97.783713023,21.506836162,168.283520764,183.500000000,,,,,0,0,HOLD
143532,GOOD,exact_edgeplacementgate1a,0.356142531,2.011633134,0.416666667,1.496108763,2.195371132,0.699262369,-0.058597406,-0.779320982,-0.080058613,-0.327756063,0,102.212656340,43.585876088,199.626568850,207.500000000,,,,,0,0,HOLD
144210,BOUNDARY_FOREGROUND,exact_edgeplacementgate1a,0.298655253,2.349496813,0.500000000,2.160911470,3.604851333,1.443939863,-0.295493936,-1.733185827,-0.289212746,-0.513331449,1,84.429154552,13.746400340,167.246627444,161.750000000,,,,,0,1,DARK_FOREGROUND
084858,GOOD,morning_pre_gate_legacy_renderedluma,0,0.874687653,0.125000000,-0.206913720,,,,,,,,,,,,,33.665364583,14,0,0,,HOLD
