q95CeilingY,bright224DeltaMax,164019,164048,142840,142939,144210
238,0.025,0.5,0.5,0.5,0.5,0.15
238,0.03,0.5,0.5,0.5,0.5,0.15
238,0.035,0.5,0.5,0.5,0.5,0.15
238,0.04,0.5,0.5,0.5,0.5,0.15
238,0.045,0.5,0.5,0.5,0.5,0.15
238,0.05,0.5,0.5,0.5,0.5,0.15
238,0.06,0.5,0.5,0.5,0.5,0.15
239,0.025,0.5,0.5,0.5,0.5,0.15
239,0.03,0.5,0.5,0.5,0.5,0.15
239,0.035,0.5,0.5,0.5,0.5,0.15
239,0.04,0.5,0.5,0.5,0.5,0.15
239,0.045,0.5,0.5,0.5,0.5,0.15
239,0.05,0.5,0.5,0.5,0.5,0.15
239,0.06,0.5,0.5,0.5,0.5,0.15
240,0.025,0.5,0.5,0.5,0.5,0.15
240,0.03,0.5,0.5,0.5,0.5,0.15
240,0.035,0.5,0.5,0.5,0.5,0.15
240,0.04,0.5,0.5,0.5,0.5,0.15
240,0.045,0.5,0.5,0.5,0.5,0.15
240,0.05,0.5,0.5,0.5,0.5,0.15
240,0.06,0.5,0.5,0.5,0.5,0.15
241,0.025,0.5,0.5,0.5,0.5,0.15
241,0.03,0.5,0.5,0.5,0.5,0.15
241,0.035,0.5,0.5,0.5,0.5,0.25
241,0.04,0.5,0.5,0.5,0.5,0.25
241,0.045,0.5,0.5,0.5,0.5,0.25
241,0.05,0.5,0.5,0.5,0.5,0.25
241,0.06,0.5,0.5,0.5,0.5,0.25
242,0.025,0.5,0.5,0.5,0.5,0.15
242,0.03,0.5,0.5,0.5,0.5,0.15
242,0.035,0.5,0.5,0.5,0.5,0.25
242,0.04,0.5,0.5,0.5,0.5,0.25
242,0.045,0.5,0.5,0.5,0.5,0.25
242,0.05,0.5,0.5,0.5,0.5,0.25
242,0.06,0.5,0.5,0.5,0.5,0.25
243,0.025,0.5,0.5,0.5,0.5,0.15
243,0.03,0.5,0.5,0.5,0.5,0.15
243,0.035,0.5,0.5,0.5,0.5,0.25
243,0.04,0.5,0.5,0.5,0.5,0.25
243,0.045,0.5,0.5,0.5,0.5,0.25
243,0.05,0.5,0.5,0.5,0.5,0.25
243,0.06,0.5,0.5,0.5,0.5,0.25
244,0.025,0.5,0.5,0.5,0.5,0.15
244,0.03,0.5,0.5,0.5,0.5,0.15
244,0.035,0.5,0.5,0.5,0.5,0.25
244,0.04,0.5,0.5,0.5,0.5,0.25
244,0.045,0.5,0.5,0.5,0.5,0.25
244,0.05,0.5,0.5,0.5,0.5,0.35
244,0.06,0.5,0.5,0.5,0.5,0.35
245,0.025,0.5,0.5,0.5,0.5,0.15
245,0.03,0.5,0.5,0.5,0.5,0.15
245,0.035,0.5,0.5,0.5,0.5,0.25
245,0.04,0.5,0.5,0.5,0.5,0.25
245,0.045,0.5,0.5,0.5,0.5,0.25
245,0.05,0.5,0.5,0.5,0.5,0.35
245,0.06,0.5,0.5,0.5,0.5,0.35
246,0.025,0.5,0.5,0.5,0.5,0.15
246,0.03,0.5,0.5,0.5,0.5,0.15
246,0.035,0.5,0.5,0.5,0.5,0.25
246,0.04,0.5,0.5,0.5,0.5,0.25
246,0.045,0.5,0.5,0.5,0.5,0.25
246,0.05,0.5,0.5,0.5,0.5,0.35
246,0.06,0.5,0.5,0.5,0.5,0.35
