stem,g_q95,c_q95,m_q95,local_q95,local_conc,g_med,c_med,m_med,guard_local_q95_ge_220_and_conc_ge_80,known_label
IMG_20260904_163702_1788536222457_00,89.0,210.0,253.0,253.0,164.0,2.0,6.0,11.0,True,BOUNDARY
IMG_20260904_164436_1788536676888_00,106.0,247.0,255.0,255.0,149.0,2.0,5.0,6.0,True,
IMG_20260904_164420_1788536660784_00,118.0,234.0,255.0,255.0,137.0,2.0,2.0,9.0,True,
IMG_20260904_164331_1788536611192_00,119.0,235.0,255.0,255.0,136.0,7.0,25.0,79.0,True,GOOD
IMG_20260904_164402_1788536642539_00,168.0,234.0,249.0,249.0,81.0,5.0,13.0,42.0,True,GOOD
IMG_20260904_164736_1788536856690_00,161.0,202.0,228.0,228.0,67.0,34.0,49.0,41.0,False,
IMG_20260904_163521_1788536121935_00,99.0,151.0,161.0,161.0,62.0,4.0,8.0,5.0,False,
IMG_20260904_163630_1788536190293_00,75.0,120.0,126.0,126.0,51.0,4.0,7.0,7.0,False,
IMG_20260904_163605_1788536165205_00,83.0,133.0,109.0,133.0,50.0,7.0,11.0,9.0,False,
IMG_20260904_164814_1788536894347_00,191.0,214.0,239.0,239.0,48.0,51.0,83.0,98.0,False,
IMG_20260904_164707_1788536827532_00,186.0,216.0,231.0,231.0,45.0,48.0,69.0,103.0,False,
IMG_20260904_163347_1788536027742_00,185.0,227.0,35.0,227.0,42.0,6.0,10.0,11.0,False,
IMG_20260904_163509_1788536109806_00,169.0,149.0,210.0,210.0,41.0,17.0,21.0,21.0,False,
IMG_20260904_164141_1788536501931_00,76.0,82.0,107.0,107.0,31.0,6.0,14.0,20.0,False,
IMG_20260904_163553_1788536153169_00,119.0,149.0,99.0,149.0,30.0,19.0,30.0,29.0,False,GOOD
IMG_20260904_164510_1788536710636_00,222.0,239.0,243.0,243.0,21.0,92.0,92.0,92.0,False,
IMG_20260904_164525_1788536725121_00,204.0,214.0,221.0,221.0,17.0,60.0,54.0,49.0,False,
IMG_20260904_164048_1788536448208_00,181.0,193.0,177.0,193.0,12.0,5.0,7.0,5.0,False,DARK_FAIL
IMG_20260904_164247_1788536567395_00,125.0,136.0,72.0,136.0,11.0,22.0,24.0,19.0,False,GOOD
IMG_20260904_164751_1788536871888_00,79.0,90.0,70.0,90.0,11.0,9.0,16.0,15.0,False,
IMG_20260904_163847_1788536327166_00,112.0,109.0,122.0,122.0,10.0,14.0,20.0,22.0,False,GOOD
IMG_20260904_163423_1788536063012_00,119.0,120.0,116.0,120.0,1.0,19.0,23.0,23.0,False,
IMG_20260904_164035_1788536435593_00,233.0,232.0,157.0,232.0,-1.0,20.0,25.0,20.0,False,
IMG_20260904_164104_1788536464382_00,227.0,226.0,176.0,226.0,-1.0,49.0,91.0,106.0,False,
IMG_20260904_164019_1788536419887_00,155.0,145.0,36.0,145.0,-10.0,5.0,5.0,4.0,False,DARK_CANDIDATE
IMG_20260904_164557_1788536757532_00,211.0,168.0,139.0,168.0,-43.0,12.0,15.0,10.0,False,
IMG_20260904_164647_1788536807335_00,197.0,140.0,108.0,140.0,-57.0,11.0,14.0,13.0,False,
IMG_20260904_164622_1788536782716_00,214.0,131.0,142.0,142.0,-72.0,13.0,13.0,11.0,False,
IMG_20260904_164458_1788536698183_00,193.0,80.0,73.0,80.0,-113.0,14.0,10.0,7.0,False,
